timestamp,bin_id,latitude,longitude,capacity_liters,criticality,fill_level_pct,temperature_c,hour,day_of_week,is_weekend,fill_lag_1h,fill_lag_3h,rolling_mean_6h
2026-06-21 04:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,15.12,21.8,4,6,1,15.12,15.12,15.12
2026-06-21 05:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,16.31,26.0,5,6,1,15.12,15.12,15.715
2026-06-21 06:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,17.02,31.7,6,6,1,16.31,15.12,16.15
2026-06-21 07:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,17.61,33.0,7,6,1,17.02,15.12,16.515
2026-06-21 08:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,25.3,20.0,8,6,1,17.61,16.31,18.272
2026-06-21 09:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,33.26,31.1,9,6,1,25.3,17.02,20.77
2026-06-21 10:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,39.32,20.1,10,6,1,33.26,17.61,24.80333333333333
2026-06-21 11:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,42.44,29.4,11,6,1,39.32,25.3,29.15833333333333
2026-06-21 12:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,47.44,20.8,12,6,1,42.44,33.26,34.22833333333333
2026-06-21 13:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,55.3,24.2,13,6,1,47.44,39.32,40.51
2026-06-21 14:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,58.76,31.1,14,6,1,55.3,42.44,46.086666666666666
2026-06-21 15:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,63.67,37.7,15,6,1,58.76,47.44,51.154999999999994
2026-06-21 16:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,69.0,35.5,16,6,1,63.67,55.3,56.10166666666667
2026-06-21 17:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,75.41,20.2,17,6,1,69.0,58.76,61.596666666666664
2026-06-21 18:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,83.12,26.9,18,6,1,75.41,63.67,67.54333333333334
2026-06-21 19:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,86.2,24.3,19,6,1,83.12,69.0,72.69333333333333
2026-06-21 20:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,3.05,35.0,20,6,1,86.2,75.41,63.40833333333333
2026-06-21 21:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,3.81,27.0,21,6,1,3.05,83.12,53.431666666666665
2026-06-21 22:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,4.58,33.6,22,6,1,3.81,86.2,42.695
2026-06-21 23:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,5.72,23.7,23,6,1,4.58,3.05,31.080000000000002
2026-06-22 00:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,7.07,20.6,0,0,0,5.72,3.81,18.405
2026-06-22 01:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,8.84,28.1,1,0,0,7.07,4.58,5.511666666666667
2026-06-22 02:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,9.93,36.7,2,0,0,8.84,5.72,6.658333333333334
2026-06-22 03:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,11.52,25.9,3,0,0,9.93,7.07,7.9433333333333325
2026-06-22 04:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,12.88,29.4,4,0,0,11.52,8.84,9.326666666666666
2026-06-22 05:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,14.82,35.2,5,0,0,12.88,9.93,10.843333333333334
2026-06-22 06:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,16.44,29.7,6,0,0,14.82,11.52,12.405000000000001
2026-06-22 07:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,17.82,37.4,7,0,0,16.44,12.88,13.901666666666666
2026-06-22 08:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,23.85,25.0,8,0,0,17.82,14.82,16.221666666666668
2026-06-22 09:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,28.33,23.0,9,0,0,23.85,16.44,19.02333333333333
2026-06-22 10:41:40.111247,BIN_001,28.522954011884735,77.436071430641,500,Low,31.41,27.6,10,0,0,28.33,17.82,22.111666666666665
